"~id","~start_node_id","~end_node_id","~relationship_type"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847119","4:f4b58906-e3ae-4787-871e-1af324202838:143","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847122","4:f4b58906-e3ae-4787-871e-1af324202838:146","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532397","4:f4b58906-e3ae-4787-871e-1af324202838:173","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532404","4:f4b58906-e3ae-4787-871e-1af324202838:180","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532463","4:f4b58906-e3ae-4787-871e-1af324202838:239","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1157425104234217774","4:f4b58906-e3ae-4787-871e-1af324202838:302","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532537","4:f4b58906-e3ae-4787-871e-1af324202838:313","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532560","4:f4b58906-e3ae-4787-871e-1af324202838:336","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532561","4:f4b58906-e3ae-4787-871e-1af324202838:337","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532593","4:f4b58906-e3ae-4787-871e-1af324202838:369","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847025","4:f4b58906-e3ae-4787-871e-1af324202838:49","4:f4b58906-e3ae-4787-871e-1af324202838:29","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532311","4:f4b58906-e3ae-4787-871e-1af324202838:87","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532318","4:f4b58906-e3ae-4787-871e-1af324202838:94","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532326","4:f4b58906-e3ae-4787-871e-1af324202838:102","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532329","4:f4b58906-e3ae-4787-871e-1af324202838:105","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532335","4:f4b58906-e3ae-4787-871e-1af324202838:111","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6924284427082137649","4:f4b58906-e3ae-4787-871e-1af324202838:114","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532341","4:f4b58906-e3ae-4787-871e-1af324202838:117","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532367","4:f4b58906-e3ae-4787-871e-1af324202838:143","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532368","4:f4b58906-e3ae-4787-871e-1af324202838:144","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532388","4:f4b58906-e3ae-4787-871e-1af324202838:164","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1157425104234217645","4:f4b58906-e3ae-4787-871e-1af324202838:173","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6922032627268452401","4:f4b58906-e3ae-4787-871e-1af324202838:185","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6926536226895822897","4:f4b58906-e3ae-4787-871e-1af324202838:266","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1157425104234217808","4:f4b58906-e3ae-4787-871e-1af324202838:336","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1157425104234217809","4:f4b58906-e3ae-4787-871e-1af324202838:337","4:f4b58906-e3ae-4787-871e-1af324202838:49","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847062","4:f4b58906-e3ae-4787-871e-1af324202838:86","4:f4b58906-e3ae-4787-871e-1af324202838:29","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532351","4:f4b58906-e3ae-4787-871e-1af324202838:127","4:f4b58906-e3ae-4787-871e-1af324202838:86","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847127","4:f4b58906-e3ae-4787-871e-1af324202838:151","4:f4b58906-e3ae-4787-871e-1af324202838:86","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847140","4:f4b58906-e3ae-4787-871e-1af324202838:164","4:f4b58906-e3ae-4787-871e-1af324202838:86","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532526","4:f4b58906-e3ae-4787-871e-1af324202838:302","4:f4b58906-e3ae-4787-871e-1af324202838:86","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847161","4:f4b58906-e3ae-4787-871e-1af324202838:185","4:f4b58906-e3ae-4787-871e-1af324202838:129","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6919780827454767233","4:f4b58906-e3ae-4787-871e-1af324202838:187","4:f4b58906-e3ae-4787-871e-1af324202838:129","DEPENDE"
