"~id","~labels","termo","codigo","categoria","ch_teorica","nome","ch_pratica","label","ch_extensao"
"4:f4b58906-e3ae-4787-871e-1af324202838:363","UCS",6,"7214","ELETIVA",36,"TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO III",36,"7214 - TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO III",
"4:f4b58906-e3ae-4787-871e-1af324202838:371","UCS",6,"6169","ELETIVA",36,"TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO II",36,"6169 - TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO II",
"4:f4b58906-e3ae-4787-871e-1af324202838:372","UCS",6,"7217","ELETIVA",36,"TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO III",36,"7217 - TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO III",
"4:f4b58906-e3ae-4787-871e-1af324202838:378","UCS",6,"6097","INTERDISCIPLINAR",24,"TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO IV",12,"6097 - TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO IV",
"4:f4b58906-e3ae-4787-871e-1af324202838:22","UCS",2,"5124","ELETIVA",10,"ANATOMIA",26,"5124 - ANATOMIA",4
"4:f4b58906-e3ae-4787-871e-1af324202838:355","UCS",6,"6114","ELETIVA",62,"TECNOLOGIAS ASSISTIVAS",10,"6114 - TECNOLOGIAS ASSISTIVAS",
"4:f4b58906-e3ae-4787-871e-1af324202838:23","UCS",2,"9823","ELETIVA",0,"ATIVIDADES COMPLEMENTARES EXTENSIONISTAS I",36,"9823 - ATIVIDADES COMPLEMENTARES EXTENSIONISTAS I",36
"4:f4b58906-e3ae-4787-871e-1af324202838:47","UCS",3,"5739","ELETIVA",36,"BIOLOGIA DO DESENVOLVIMENTO",0,"5739 - BIOLOGIA DO DESENVOLVIMENTO",8
"4:f4b58906-e3ae-4787-871e-1af324202838:26","UCS",2,"5870","FIXA",36,"CIÊNCIA, TECNOLOGIA, SOCIEDADE E AMBIENTE",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:27","UCS",2,"5919","ELETIVA",72,"CULTURA DIGITAL",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:28","UCS",2,"4369","FIXA",72,"FENÔMENOS MECÂNICOS",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:29","UCS",2,"2650","ELETIVA",64,"GEOMETRIA ANALÍTICA",8,,
"4:f4b58906-e3ae-4787-871e-1af324202838:30","UCS",2,"6069","ELETIVA",36,"INTRODUÇÃO À ECONOMIA GLOBAL",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:31","UCS",2,"4380","ELETIVA",36,"INTRODUÇÃO À ENGENHARIA BIOMÉDICA",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:32","UCS",2,"4373","INTERDISCIPLINAR",36,"INTRODUÇÃO À ENGENHARIA DE MATERIAIS",0,,8
"4:f4b58906-e3ae-4787-871e-1af324202838:33","UCS",2,"6050","ELETIVA",58,"INTRODUÇÃO À LÓGICA FUZZY",14,,
"4:f4b58906-e3ae-4787-871e-1af324202838:34","UCS",2,"6034","ELETIVA",72,"LEGISLAÇÃO AMBIENTAL E POLÍTICAS PÚBLICAS",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:35","UCS",2,"2201","ELETIVA",36,"MATEMÁTICA DISCRETA",36,,
"4:f4b58906-e3ae-4787-871e-1af324202838:37","UCS",2,"4374","ELETIVA",28,"METODOLOGIA DA PESQUISA E COMUNICAÇÃO CIENTÍFICA",8,,
"4:f4b58906-e3ae-4787-871e-1af324202838:38","UCS",2,"5120","ELETIVA",72,"MICROBIOLOGIA GERAL",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:40","UCS",2,"6070","ELETIVA",36,"RELAÇÕES ÉTNICO-RACIAIS E CULTURA AFRO-BRASILEIRA E INDÍGENA",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:42","UCS",3,"2475","ELETIVA",62,"ÁLGEBRA LINEAR",10,,
"4:f4b58906-e3ae-4787-871e-1af324202838:45","UCS",3,"5775","INTERDISCIPLINAR",36,"ALTERIDADE E DIVERSIDADE NO BRASIL: IMPLICAÇÕES PARA POLÍTICA DE C&T",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:46","UCS",3,"5095","INTERDISCIPLINAR",30,"ANÁLISE DE INVESTIMENTOS E RISCOS",42,,
"4:f4b58906-e3ae-4787-871e-1af324202838:50","UCS",3,"5115","ELETIVA",72,"CIDADANIA, CIÊNCIA E POLÊMICA",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:51","UCS",3,"3518","ELETIVA",52,"CIRCUITOS DIGITAIS",20,,20
"4:f4b58906-e3ae-4787-871e-1af324202838:52","UCS",3,"5774","ELETIVA",72,"COMBINATÓRIA ENUMERATIVA",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:53","UCS",3,"6076","INTERDISCIPLINAR",18,"CULTURA DOS JOGOS DIGITAIS",18,,
"4:f4b58906-e3ae-4787-871e-1af324202838:55","UCS",3,"4348","ELETIVA",72,"FENÔMENOS DO CONTÍNUO",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:56","UCS",3,"4538","ELETIVA",0,"FENÔMENOS MECÂNICOS EXPERIMENTAL",36,,
"4:f4b58906-e3ae-4787-871e-1af324202838:57","UCS",3,"5746","ELETIVA",72,"FÍSICA GERAL",0,,
